SOC,Skill,Importance
11-2021.00,Service Orientation,3.12
11-2021.00,Complex Problem Solving,3.62
11-2021.00,Operations Analysis,3.38
11-2021.00,Technology Design,1.75
11-2021.00,Equipment Selection,1.0
11-2021.00,Installation,1.0
11-2021.00,Programming,1.88
11-2021.00,Operations Monitoring,1.75
11-2021.00,Operation and Control,1.0
11-2021.00,Equipment Maintenance,1.0
11-2021.00,Troubleshooting,1.0
11-2021.00,Repairing,1.0
11-2021.00,Quality Control Analysis,1.88
11-2021.00,Judgment and Decision Making,3.75
11-2021.00,Systems Analysis,3.25
11-2021.00,Systems Evaluation,3.5
11-2021.00,Time Management,3.5
11-2021.00,Management of Financial Resources,2.88
11-2021.00,Management of Material Resources,2.62
11-2021.00,Management of Personnel Resources,3.38
11-2022.00,Reading Comprehension,3.88
11-2022.00,Active Listening,4.0
11-2022.00,Writing,3.62
11-2022.00,Speaking,4.0
11-2022.00,Mathematics,3.0
11-2022.00,Science,1.62
11-2022.00,Critical Thinking,3.88
11-2022.00,Active Learning,3.75
11-2022.00,Learning Strategies,3.12
11-2022.00,Monitoring,3.88
11-2022.00,Social Perceptiveness,3.88
11-2022.00,Coordination,3.75
11-2022.00,Persuasion,3.88
11-2022.00,Negotiation,4.0
11-2022.00,Instructing,3.75
11-2022.00,Service Orientation,3.62
11-2022.00,Complex Problem Solving,3.75
11-2022.00,Operations Analysis,2.62
11-2022.00,Technology Design,1.5
11-2022.00,Equipment Selection,1.0
11-2022.00,Installation,1.0
11-2022.00,Programming,1.62
11-2022.00,Operations Monitoring,1.75
11-2022.00,Operation and Control,1.75
11-2022.00,Equipment Maintenance,1.0
11-2022.00,Troubleshooting,1.0
11-2022.00,Repairing,1.0
11-2022.00,Quality Control Analysis,1.75
11-2022.00,Judgment and Decision Making,3.88
11-2022.00,Systems Analysis,3.62
11-2022.00,Systems Evaluation,3.62
11-2022.00,Time Management,3.75
11-2022.00,Management of Financial Resources,3.0
11-2022.00,Management of Material Resources,2.75
11-2022.00,Management of Personnel Resources,3.88
11-2033.00,Reading Comprehension,3.88
11-2033.00,Active Listening,4.0
11-2033.00,Writing,3.88
11-2033.00,Speaking,4.12
11-2033.00,Mathematics,3.0
11-2033.00,Science,1.25
11-2033.00,Critical Thinking,4.12
11-2033.00,Active Learning,3.38
11-2033.00,Learning Strategies,2.62
11-2033.00,Monitoring,3.12
11-2033.00,Social Perceptiveness,4.0
11-2033.00,Coordination,3.75
11-2033.00,Persuasion,4.0
11-2033.00,Negotiation,3.38
11-2033.00,Instructing,2.62
11-2033.00,Service Orientation,3.38
11-2033.00,Complex Problem Solving,3.62
11-2033.00,Operations Analysis,2.0
11-2033.00,Technology Design,1.75
11-2033.00,Equipment Selection,1.0
11-2033.00,Installation,1.0
11-2033.00,Programming,1.88
11-2033.00,Operations Monitoring,1.75
11-2033.00,Operation and Control,1.12
11-2033.00,Equipment Maintenance,1.0
11-2033.00,Troubleshooting,1.0
11-2033.00,Repairing,1.0
11-2033.00,Quality Control Analysis,1.25
11-2033.00,Judgment and Decision Making,3.75
11-2033.00,Systems Analysis,3.12
11-2033.00,Systems Evaluation,3.0
11-2033.00,Time Management,3.5
11-2033.00,Management of Financial Resources,3.25
11-2033.00,Management of Material Resources,2.62
11-2033.00,Management of Personnel Resources,3.12
11-3012.00,Reading Comprehension,4.0
11-3012.00,Active Listening,4.0
11-3012.00,Writing,3.75
11-3012.00,Speaking,3.88
11-3012.00,Mathematics,2.25
11-3012.00,Science,1.0
11-3012.00,Critical Thinking,3.75
11-3012.00,Active Learning,3.12
11-3012.00,Learning Strategies,3.0
11-3012.00,Monitoring,3.38
11-3012.00,Social Perceptiveness,3.25
11-3012.00,Coordination,3.75
11-3012.00,Persuasion,3.0
11-3012.00,Negotiation,3.62
11-3012.00,Instructing,3.0
11-3012.00,Service Orientation,3.25
11-3012.00,Complex Problem Solving,3.25
11-3012.00,Operations Analysis,2.75
11-3012.00,Technology Design,1.5
11-3012.00,Equipment Selection,1.12
11-3012.00,Installation,1.0
11-3012.00,Programming,1.38
11-3012.00,Operations Monitoring,2.25
11-3012.00,Operation and Control,1.62
11-3012.00,Equipment Maintenance,1.0
11-3012.00,Troubleshooting,1.88
11-3012.00,Repairing,1.0
11-3012.00,Quality Control Analysis,2.25
11-3012.00,Judgment and Decision Making,3.25
11-3012.00,Systems Analysis,3.12
11-3012.00,Systems Evaluation,2.75
11-3012.00,Time Management,4.0
11-3012.00,Management of Financial Resources,2.88
11-3012.00,Management of Material Resources,2.88
11-3012.00,Management of Personnel Resources,3.38
11-3013.00,Reading Comprehension,3.75
11-3013.00,Active Listening,3.75
11-3013.00,Writing,3.25
11-3013.00,Speaking,3.88
11-3013.00,Mathematics,2.75
11-3013.00,Science,1.5
11-3013.00,Critical Thinking,3.75
11-3013.00,Active Learning,3.12
11-3013.00,Learning Strategies,3.0
11-3013.00,Monitoring,3.75
11-3013.00,Social Perceptiveness,3.62
11-3013.00,Coordination,3.62
11-3013.00,Persuasion,3.12
11-3013.00,Negotiation,3.0
11-3013.00,Instructing,3.25
11-3013.00,Service Orientation,3.0
11-3013.00,Complex Problem Solving,3.38
11-3013.00,Operations Analysis,1.88
11-3013.00,Technology Design,1.62
11-3013.00,Equipment Selection,2.25
11-3013.00,Installation,1.12
11-3013.00,Programming,1.62
11-3013.00,Operations Monitoring,2.88
11-3013.00,Operation and Control,2.25
11-3013.00,Equipment Maintenance,2.38
11-3013.00,Troubleshooting,2.62
11-3013.00,Repairing,2.25
11-3013.00,Quality Control Analysis,2.88
11-3013.00,Judgment and Decision Making,3.5
11-3013.00,Systems Analysis,3.0
11-3013.00,Systems Evaluation,3.0
11-3013.00,Time Management,3.38
11-3013.00,Management of Financial Resources,2.5
11-3013.00,Management of Material Resources,2.75
11-3013.00,Management of Personnel Resources,3.5
11-3013.01,Reading Comprehension,4.12
11-3013.01,Active Listening,4.12
11-3013.01,Writing,3.75
11-3013.01,Speaking,4.0
11-3013.01,Mathematics,2.5
11-3013.01,Science,1.38
11-3013.01,Critical Thinking,4.25
11-3013.01,Active Learning,3.62
11-3013.01,Learning Strategies,3.38
11-3013.01,Monitoring,4.0
11-3013.01,Social Perceptiveness,4.0
11-3013.01,Coordination,3.88
11-3013.01,Persuasion,3.38
11-3013.01,Negotiation,3.38
11-3013.01,Instructing,3.38
11-3013.01,Service Orientation,3.38
11-3013.01,Complex Problem Solving,4.0
11-3013.01,Operations Analysis,2.25
11-3013.01,Technology Design,1.62
11-3013.01,Equipment Selection,2.0
11-3013.01,Installation,1.0
11-3013.01,Programming,1.62
11-3013.01,Operations Monitoring,2.25
11-3013.01,Operation and Control,2.0
11-3013.01,Equipment Maintenance,1.75
11-3013.01,Troubleshooting,2.0
11-3013.01,Repairing,1.75
11-3013.01,Quality Control Analysis,2.5
11-3013.01,Judgment and Decision Making,4.12
11-3013.01,Systems Analysis,3.25
11-3013.01,Systems Evaluation,3.38
11-3013.01,Time Management,3.5
11-3013.01,Management of Financial Resources,3.62
11-3013.01,Management of Material Resources,3.25
11-3013.01,Management of Personnel Resources,3.75
11-3021.00,Reading Comprehension,4.0
11-3021.00,Active Listening,4.0
11-3021.00,Writing,3.75
11-3021.00,Speaking,3.88
11-3021.00,Mathematics,3.12
11-3021.00,Science,1.75
11-3021.00,Critical Thinking,4.12
11-3021.00,Active Learning,3.38
11-3021.00,Learning Strategies,3.25
11-3021.00,Monitoring,3.88
11-3021.00,Social Perceptiveness,3.62
11-3021.00,Coordination,3.75
11-3021.00,Persuasion,3.12
11-3021.00,Negotiation,3.0
11-3021.00,Instructing,3.12
11-3021.00,Service Orientation,2.88
11-3021.00,Complex Problem Solving,3.75
11-3021.00,Operations Analysis,3.12
11-3021.00,Technology Design,2.5
11-3021.00,Equipment Selection,1.88
11-3021.00,Installation,1.0
11-3021.00,Programming,2.75
11-3021.00,Operations Monitoring,2.88
11-3021.00,Operation and Control,2.0
11-3021.00,Equipment Maintenance,1.38
11-3021.00,Troubleshooting,2.5
11-3021.00,Repairing,1.5
11-3021.00,Quality Control Analysis,2.75
11-3021.00,Judgment and Decision Making,3.88
11-3021.00,Systems Analysis,3.62
11-3021.00,Systems Evaluation,3.62
11-3021.00,Time Management,3.38
11-3021.00,Management of Financial Resources,3.0
11-3021.00,Management of Material Resources,2.75
11-3021.00,Management of Personnel Resources,3.62
11-3031.00,Reading Comprehension,4.0
11-3031.00,Active Listening,4.0
11-3031.00,Writing,3.75
11-3031.00,Speaking,4.0
11-3031.00,Mathematics,3.5
11-3031.00,Science,1.25
11-3031.00,Critical Thinking,4.0
11-3031.00,Active Learning,3.5
11-3031.00,Learning Strategies,3.0
11-3031.00,Monitoring,3.75
11-3031.00,Social Perceptiveness,3.62
11-3031.00,Coordination,3.62
11-3031.00,Persuasion,3.38
11-3031.00,Negotiation,3.12
11-3031.00,Instructing,2.88
11-3031.00,Service Orientation,3.62
11-3031.00,Complex Problem Solving,3.62
11-3031.00,Operations Analysis,1.75
11-3031.00,Technology Design,1.62
11-3031.00,Equipment Selection,1.25
11-3031.00,Installation,1.0
11-3031.00,Programming,1.88
11-3031.00,Operations Monitoring,1.88
11-3031.00,Operation and Control,1.12
11-3031.00,Equipment Maintenance,1.0
11-3031.00,Troubleshooting,1.25
11-3031.00,Repairing,1.0
11-3031.00,Quality Control Analysis,1.88
11-3031.00,Judgment and Decision Making,3.62
11-3031.00,Systems Analysis,3.0
11-3031.00,Systems Evaluation,3.0
11-3031.00,Time Management,3.62
11-3031.00,Management of Financial Resources,3.12
11-3031.00,Management of Material Resources,2.38
11-3031.00,Management of Personnel Resources,3.62
11-3031.01,Reading Comprehension,4.12
11-3031.01,Active Listening,3.88
11-3031.01,Writing,3.62
11-3031.01,Speaking,4.0
11-3031.01,Mathematics,3.75
11-3031.01,Science,1.25
11-3031.01,Critical Thinking,4.12
11-3031.01,Active Learning,3.62
11-3031.01,Learning Strategies,3.0
11-3031.01,Monitoring,3.88
11-3031.01,Social Perceptiveness,3.12
11-3031.01,Coordination,3.38
11-3031.01,Persuasion,3.0
11-3031.01,Negotiation,3.12
11-3031.01,Instructing,2.88
11-3031.01,Service Orientation,2.75
11-3031.01,Complex Problem Solving,4.12
11-3031.01,Operations Analysis,2.62
11-3031.01,Technology Design,1.62
11-3031.01,Equipment Selection,1.0
11-3031.01,Installation,1.0
11-3031.01,Programming,1.62
11-3031.01,Operations Monitoring,1.88
11-3031.01,Operation and Control,1.12
11-3031.01,Equipment Maintenance,1.0
11-3031.01,Troubleshooting,1.0
11-3031.01,Repairing,1.0
11-3031.01,Quality Control Analysis,1.88
11-3031.01,Judgment and Decision Making,4.12
11-3031.01,Systems Analysis,3.25
11-3031.01,Systems Evaluation,3.62
11-3031.01,Time Management,3.38
11-3031.01,Management of Financial Resources,4.0
11-3031.01,Management of Material Resources,2.75
11-3031.01,Management of Personnel Resources,3.12
11-3031.03,Reading Comprehension,4.0
11-3031.03,Active Listening,4.0
11-3031.03,Writing,3.62
11-3031.03,Speaking,3.88
11-3031.03,Mathematics,3.38
11-3031.03,Science,1.0
11-3031.03,Critical Thinking,4.0
11-3031.03,Active Learning,3.75
11-3031.03,Learning Strategies,2.88
11-3031.03,Monitoring,3.5
11-3031.03,Social Perceptiveness,3.0
11-3031.03,Coordination,3.12
11-3031.03,Persuasion,3.12
11-3031.03,Negotiation,3.0
11-3031.03,Instructing,3.0
11-3031.03,Service Orientation,2.88
11-3031.03,Complex Problem Solving,3.75
11-3031.03,Operations Analysis,2.0
11-3031.03,Technology Design,1.88
11-3031.03,Equipment Selection,1.0
11-3031.03,Installation,1.0
11-3031.03,Programming,1.75
11-3031.03,Operations Monitoring,1.88
11-3031.03,Operation and Control,1.0
11-3031.03,Equipment Maintenance,1.0
11-3031.03,Troubleshooting,1.0
11-3031.03,Repairing,1.0
11-3031.03,Quality Control Analysis,1.5
11-3031.03,Judgment and Decision Making,3.88
11-3031.03,Systems Analysis,3.38
11-3031.03,Systems Evaluation,3.25
11-3031.03,Time Management,3.25
11-3031.03,Management of Financial Resources,2.75
11-3031.03,Management of Material Resources,2.25
11-3031.03,Management of Personnel Resources,2.88
11-3051.00,Reading Comprehension,3.88
11-3051.00,Active Listening,3.88
11-3051.00,Writing,3.38
11-3051.00,Speaking,4.0
11-3051.00,Mathematics,3.38
11-3051.00,Science,1.62
11-3051.00,Critical Thinking,4.0
11-3051.00,Active Learning,3.62
11-3051.00,Learning Strategies,3.75
11-3051.00,Monitoring,4.0
11-3051.00,Social Perceptiveness,3.5
11-3051.00,Coordination,4.0
11-3051.00,Persuasion,3.12
11-3051.00,Negotiation,3.25
11-3051.00,Instructing,3.12
11-3051.00,Service Orientation,3.0
11-3051.00,Complex Problem Solving,3.62
11-3051.00,Operations Analysis,2.88
11-3051.00,Technology Design,1.62
11-3051.00,Equipment Selection,2.12
11-3051.00,Installation,1.0
11-3051.00,Programming,1.62
11-3051.00,Operations Monitoring,3.12
11-3051.00,Operation and Control,2.75
11-3051.00,Equipment Maintenance,2.0
11-3051.00,Troubleshooting,2.25
11-3051.00,Repairing,2.12
11-3051.00,Quality Control Analysis,3.12
11-3051.00,Judgment and Decision Making,4.0
11-3051.00,Systems Analysis,3.75
11-3051.00,Systems Evaluation,3.38
11-3051.00,Time Management,3.88
11-3051.00,Management of Financial Resources,3.38
11-3051.00,Management of Material Resources,3.25
11-3051.00,Management of Personnel Resources,3.88
11-3051.01,Reading Comprehension,4.0
11-3051.01,Active Listening,3.88
11-3051.01,Writing,3.88
11-3051.01,Speaking,3.88
11-3051.01,Mathematics,3.12
11-3051.01,Science,2.25
11-3051.01,Critical Thinking,3.75
11-3051.01,Active Learning,3.62
11-3051.01,Learning Strategies,3.12
11-3051.01,Monitoring,3.88
11-3051.01,Social Perceptiveness,3.25
11-3051.01,Coordination,3.75
11-3051.01,Persuasion,3.25
11-3051.01,Negotiation,3.0
11-3051.01,Instructing,3.25
11-3051.01,Service Orientation,3.0
11-3051.01,Complex Problem Solving,3.75
11-3051.01,Operations Analysis,2.75
11-3051.01,Technology Design,2.12
11-3051.01,Equipment Selection,2.0
11-3051.01,Installation,1.0
11-3051.01,Programming,1.88
11-3051.01,Operations Monitoring,3.25
11-3051.01,Operation and Control,2.88
11-3051.01,Equipment Maintenance,1.88
11-3051.01,Troubleshooting,2.75
11-3051.01,Repairing,1.75
11-3051.01,Quality Control Analysis,4.0
11-3051.01,Judgment and Decision Making,4.0
11-3051.01,Systems Analysis,3.62
11-3051.01,Systems Evaluation,3.75
11-3051.01,Time Management,3.5
11-3051.01,Management of Financial Resources,2.75
11-3051.01,Management of Material Resources,2.75
11-3051.01,Management of Personnel Resources,3.25
11-3051.02,Reading Comprehension,3.88
11-3051.02,Active Listening,3.62
11-3051.02,Writing,3.62
11-3051.02,Speaking,3.88
11-3051.02,Mathematics,3.25
11-3051.02,Science,2.38
11-3051.02,Critical Thinking,4.0
11-3051.02,Active Learning,3.5
11-3051.02,Learning Strategies,3.25
11-3051.02,Monitoring,3.88
11-3051.02,Social Perceptiveness,3.5
11-3051.02,Coordination,3.75
11-3051.02,Persuasion,3.0
11-3051.02,Negotiation,3.0
11-3051.02,Instructing,3.25
11-3051.02,Service Orientation,2.88
11-3051.02,Complex Problem Solving,3.62
11-3051.02,Operations Analysis,2.0
11-3051.02,Technology Design,2.0
11-3051.02,Equipment Selection,2.25
11-3051.02,Installation,1.0
11-3051.02,Programming,1.88
11-3051.02,Operations Monitoring,3.25
11-3051.02,Operation and Control,2.88
11-3051.02,Equipment Maintenance,2.5
11-3051.02,Troubleshooting,2.88
11-3051.02,Repairing,2.75
11-3051.02,Quality Control Analysis,3.12
11-3051.02,Judgment and Decision Making,3.75
11-3051.02,Systems Analysis,3.25
11-3051.02,Systems Evaluation,3.25
11-3051.02,Time Management,3.62
11-3051.02,Management of Financial Resources,3.25
11-3051.02,Management of Material Resources,3.12
11-3051.02,Management of Personnel Resources,3.62
11-3051.03,Reading Comprehension,3.88
11-3051.03,Active Listening,3.75
11-3051.03,Writing,3.5
11-3051.03,Speaking,3.62
11-3051.03,Mathematics,3.0
11-3051.03,Science,3.0
11-3051.03,Critical Thinking,3.88
11-3051.03,Active Learning,3.25
11-3051.03,Learning Strategies,3.38
11-3051.03,Monitoring,3.75
11-3051.03,Social Perceptiveness,3.38
11-3051.03,Coordination,3.62
11-3051.03,Persuasion,3.12
11-3051.03,Negotiation,3.0
11-3051.03,Instructing,3.25
11-3051.03,Service Orientation,3.25
11-3051.03,Complex Problem Solving,3.38
11-3051.03,Operations Analysis,2.12
11-3051.03,Technology Design,1.88
11-3051.03,Equipment Selection,1.25
11-3051.03,Installation,1.0
11-3051.03,Programming,2.12
11-3051.03,Operations Monitoring,3.0
11-3051.03,Operation and Control,3.12
11-3051.03,Equipment Maintenance,1.5
11-3051.03,Troubleshooting,2.25
11-3051.03,Repairing,1.12
11-3051.03,Quality Control Analysis,2.62
11-3051.03,Judgment and Decision Making,3.5
11-3051.03,Systems Analysis,3.25
11-3051.03,Systems Evaluation,3.0
11-3051.03,Time Management,3.5
11-3051.03,Management of Financial Resources,3.0
11-3051.03,Management of Material Resources,2.75
11-3051.03,Management of Personnel Resources,3.88
11-3051.04,Reading Comprehension,3.88
11-3051.04,Active Listening,3.88
11-3051.04,Writing,3.12
11-3051.04,Speaking,4.0
11-3051.04,Mathematics,3.0
11-3051.04,Science,2.5
11-3051.04,Critical Thinking,4.0
11-3051.04,Active Learning,3.12
11-3051.04,Learning Strategies,3.0
11-3051.04,Monitoring,3.88
11-3051.04,Social Perceptiveness,3.25
11-3051.04,Coordination,3.75
11-3051.04,Persuasion,3.0
11-3051.04,Negotiation,2.88
11-3051.04,Instructing,3.25
11-3051.04,Service Orientation,2.75
11-3051.04,Complex Problem Solving,3.75
11-3051.04,Operations Analysis,2.12
11-3051.04,Technology Design,1.62
11-3051.04,Equipment Selection,2.12
11-3051.04,Installation,1.0
11-3051.04,Programming,1.62
11-3051.04,Operations Monitoring,3.38
11-3051.04,Operation and Control,3.0
11-3051.04,Equipment Maintenance,2.38
11-3051.04,Troubleshooting,3.0
11-3051.04,Repairing,2.25
11-3051.04,Quality Control Analysis,3.12
11-3051.04,Judgment and Decision Making,3.75
11-3051.04,Systems Analysis,3.12
11-3051.04,Systems Evaluation,3.12
11-3051.04,Time Management,3.62
11-3051.04,Management of Financial Resources,3.12
11-3051.04,Management of Material Resources,3.12
11-3051.04,Management of Personnel Resources,3.75
11-3051.06,Reading Comprehension,3.88
11-3051.06,Active Listening,4.12
11-3051.06,Writing,3.5
11-3051.06,Speaking,4.12
11-3051.06,Mathematics,3.25
11-3051.06,Science,3.25
11-3051.06,Critical Thinking,3.75
11-3051.06,Active Learning,3.62
11-3051.06,Learning Strategies,3.62
11-3051.06,Monitoring,3.88
11-3051.06,Social Perceptiveness,3.25
11-3051.06,Coordination,3.5
11-3051.06,Persuasion,3.38
11-3051.06,Negotiation,3.25
11-3051.06,Instructing,3.38
11-3051.06,Service Orientation,3.38
11-3051.06,Complex Problem Solving,3.62
11-3051.06,Operations Analysis,2.12
11-3051.06,Technology Design,1.88
11-3051.06,Equipment Selection,2.12
11-3051.06,Installation,1.25
11-3051.06,Programming,2.12
11-3051.06,Operations Monitoring,3.38
11-3051.06,Operation and Control,3.25
11-3051.06,Equipment Maintenance,2.75
11-3051.06,Troubleshooting,2.75
11-3051.06,Repairing,2.38
11-3051.06,Quality Control Analysis,3.25
11-3051.06,Judgment and Decision Making,3.88
11-3051.06,Systems Analysis,3.38
11-3051.06,Systems Evaluation,3.38
11-3051.06,Time Management,3.75
11-3051.06,Management of Financial Resources,3.0
11-3051.06,Management of Material Resources,3.0
11-3051.06,Management of Personnel Resources,3.75
11-3061.00,Reading Comprehension,3.88
11-3061.00,Active Listening,4.0
11-3061.00,Writing,3.88
11-3061.00,Speaking,4.0
11-3061.00,Mathematics,3.12
11-3061.00,Science,1.0
11-3061.00,Critical Thinking,3.75
11-3061.00,Active Learning,3.25
11-3061.00,Learning Strategies,3.0
11-3061.00,Monitoring,3.88
11-3061.00,Social Perceptiveness,3.88
11-3061.00,Coordination,3.75
11-3061.00,Persuasion,3.62
11-3061.00,Negotiation,3.88
11-3061.00,Instructing,3.38
11-3061.00,Service Orientation,3.5
11-3061.00,Complex Problem Solving,3.5
11-3061.00,Operations Analysis,2.62
11-3061.00,Technology Design,1.88
11-3061.00,Equipment Selection,1.0
11-3061.00,Installation,1.0
11-3061.00,Programming,1.88
11-3061.00,Operations Monitoring,2.0
11-3061.00,Operation and Control,1.0
11-3061.00,Equipment Maintenance,1.0
11-3061.00,Troubleshooting,2.0
11-3061.00,Repairing,1.0
11-3061.00,Quality Control Analysis,2.12
11-3061.00,Judgment and Decision Making,3.75
11-3061.00,Systems Analysis,3.5
11-3061.00,Systems Evaluation,3.12
11-3061.00,Time Management,3.88
11-3061.00,Management of Financial Resources,3.25
11-3061.00,Management of Material Resources,3.25
11-3061.00,Management of Personnel Resources,4.0
11-3071.00,Reading Comprehension,3.88
11-3071.00,Active Listening,3.88
11-3071.00,Writing,3.62
11-3071.00,Speaking,3.62
11-3071.00,Mathematics,2.75
11-3071.00,Science,1.0
11-3071.00,Critical Thinking,3.62
11-3071.00,Active Learning,3.62
11-3071.00,Learning Strategies,3.38
11-3071.00,Monitoring,3.75
11-3071.00,Social Perceptiveness,3.25
11-3071.00,Coordination,3.75
11-3071.00,Persuasion,3.5
11-3071.00,Negotiation,3.62
11-3071.00,Instructing,3.62
11-3071.00,Service Orientation,3.25
11-3071.00,Complex Problem Solving,3.62
11-3071.00,Operations Analysis,2.12
11-3071.00,Technology Design,1.75
11-3071.00,Equipment Selection,1.12
11-3071.00,Installation,1.12
11-3071.00,Programming,1.75
11-3071.00,Operations Monitoring,2.62
11-3071.00,Operation and Control,1.88
11-3071.00,Equipment Maintenance,1.12
11-3071.00,Troubleshooting,1.88
11-3071.00,Repairing,1.0
11-3071.00,Quality Control Analysis,2.5
11-3071.00,Judgment and Decision Making,3.5
11-3071.00,Systems Analysis,3.62
11-3071.00,Systems Evaluation,3.5
11-3071.00,Time Management,3.62
11-3071.00,Management of Financial Resources,2.88
